Date : 2026-06-01 02:19:04
Directory : c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app
Total : 98 files,  25011 codes, 928 comments, 1397 blanks, all 27336 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     13,457 |          0 |          2 |     13,459 |
| TypeScript JSX     |         43 |      8,796 |        246 |        780 |      9,822 |
| TypeScript         |         16 |      1,525 |        285 |        257 |      2,067 |
| MS SQL             |         26 |        854 |        386 |        247 |      1,487 |
| Markdown           |          3 |        200 |          0 |         92 |        292 |
| JavaScript         |          2 |         97 |         11 |         16 |        124 |
| JSON with Comments |          4 |         80 |          0 |          3 |         83 |
| Dotenv             |          1 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |         98 |     25,011 |        928 |      1,397 |     27,336 |
| . (Files)                                                                                                                      |         10 |     13,741 |          1 |         98 |     13,840 |
| .claude                                                                                                                        |          1 |          5 |          0 |          1 |          6 |
| app                                                                                                                            |         24 |      7,207 |        128 |        560 |      7,895 |
| app (Files)                                                                                                                    |          9 |      2,579 |         41 |        195 |      2,815 |
| app\(tabs)                                                                                                                     |          5 |      1,482 |         16 |        101 |      1,599 |
| app\auth                                                                                                                       |          3 |        705 |         22 |         49 |        776 |
| app\debt                                                                                                                       |          1 |        566 |         18 |         69 |        653 |
| app\group                                                                                                                      |          1 |        589 |          7 |         43 |        639 |
| app\individual                                                                                                                 |          1 |        882 |         23 |         61 |        966 |
| app\settings                                                                                                                   |          4 |        404 |          1 |         42 |        447 |
| components                                                                                                                     |         13 |        429 |         19 |         60 |        508 |
| components (Files)                                                                                                             |         10 |        329 |          8 |         47 |        384 |
| components\ui                                                                                                                  |          3 |        100 |         11 |         13 |        124 |
| constants                                                                                                                      |          2 |         60 |          1 |         12 |         73 |
| context                                                                                                                        |          6 |      1,160 |         99 |        160 |      1,419 |
| hooks                                                                                                                          |          3 |         28 |          7 |         11 |         46 |
| lib                                                                                                                            |         11 |      1,437 |        277 |        234 |      1,948 |
| lib (Files)                                                                                                                    |          4 |         25 |         14 |          8 |         47 |
| lib\services                                                                                                                   |          7 |      1,412 |        263 |        226 |      1,901 |
| scripts                                                                                                                        |          1 |         89 |         10 |         14 |        113 |
| supabase                                                                                                                       |         27 |        855 |        386 |        247 |      1,488 |
| supabase\.temp                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| supabase\migrations                                                                                                            |         26 |        854 |        386 |        247 |      1,487 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                       | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\.claude\settings.json                                                | JSON with Comments |          5 |          0 |          1 |          6 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\.env                                                                 | Dotenv             |          2 |          0 |          0 |          2 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\AGENTS.md                                                            | Markdown           |          2 |          0 |          2 |          4 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\CLAUDE.md                                                            | Markdown           |        167 |          0 |         70 |        237 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\README.md                                                            | Markdown           |         31 |          0 |         20 |         51 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app.json                                                             | JSON with Comments |         50 |          0 |          1 |         51 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\_layout.tsx                                               | TypeScript JSX     |         78 |          0 |          9 |         87 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\groups.tsx                                                | TypeScript JSX     |        347 |          2 |         23 |        372 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\index.tsx                                                 | TypeScript JSX     |        490 |          3 |         24 |        517 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\individuals.tsx                                           | TypeScript JSX     |        367 |          2 |         25 |        394 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\(tabs)\settings.tsx                                              | TypeScript JSX     |        200 |          9 |         20 |        229 |
